Station Name,Line,Latitude ,Longitude
Alewife,Red,42.395428,-71.142483
Davis,Red,42.396740,-71.121815
Porter,Red,42.388400,-71.119149
Harvard,Red,42.373362,-71.118956
Central,Red,42.365486,-71.103802
Kendall/MIT,Red,42.362491,-71.086177
Charles/MGH,Red,42.361166,-71.070628
Park,Red,42.356395,-71.062424
Downtown Crossing,Red,42.355518,-71.060225
South Station,Red,42.352271,-71.055242
Broadway,Red,42.342622,-71.056967
Andrew,Red,42.330154,-71.057655
JFK/Umass,Red,42.320685,-71.052391
North Quincy,Red,42.275275,-71.029583
Wollaston,Red,42.266514,-71.020337
Quincy Center,Red,42.251809,-71.005409
Quincy Adams,Red,42.233391,-71.007153
Braintree,Red,42.207854,-71.001139
