,Station_Name,Line,Latitude,Longitude,tract,county,Income
1,Wonderland,Blue,42.41342,-70.991648,170501,Suffolk County,48833
2,Revere Beach,Blue,42.40784254,-70.99253321,170501,Suffolk County,48833
3,Beachmont,Blue,42.39754234,-70.99231944,170701,Suffolk County,43663
4,Suffolk Downs,Blue,42.39050067,-70.99712259,51101,Suffolk County,46794
5,Orient Heights,Blue,42.386867,-71.004736,51101,Suffolk County,46794
6,Wood Island,Blue,42.3796403,-71.02286539,981300,Suffolk County,86250
7,Airport,Blue,42.374262,-71.030395,981300,Suffolk County,86250
8,Maverick,Blue,42.36911856,-71.03952958,50400,Suffolk County,51631
9,Aquarium,Blue,42.359784,-71.051652,30300,Suffolk County,102277
10,State Street,Blue,42.358978,-71.057598,30300,Suffolk County,102277
11,Government Center,Blue,42.359705,-71.059215,30300,Suffolk County,102277
12,Bowdoin,Blue,42.361365,-71.062037,30300,Suffolk County,102277
