"","GEOID","NAME","B28002_001","B28002_013","percent","state"
"1","01","Alabama",1852518,398154,21.4925846874362,"AL"
"2","02","Alaska",248468,28566,11.4968527134279,"AK"
"3","04","Arizona",2519052,353476,14.0321041407641,"AZ"
"4","05","Arkansas",1142718,257539,22.5374064292328,"AR"
"5","06","California",12944178,1540021,11.8974028323776,"CA"
"6","08","Colorado",2108992,208531,9.88770938912997,"CO"
"7","09","Connecticut",1357269,173134,12.7560564633835,"CT"
"8","10","Delaware",351085,46257,13.1754418445676,"DE"
"9","11","District of Columbia",281241,49638,17.6496314548732,"DC"
"10","12","Florida",7573456,1111857,14.6809725969227,"FL"
"11","13","Georgia",3686135,582419,15.8002623343963,"GA"
"12","15","Hawaii",455868,56672,12.4316688164118,"HI"
"13","16","Idaho",610872,103714,16.978024856271,"ID"
"14","17","Illinois",4822046,706689,14.6553765766648,"IL"
"15","18","Indiana",2533270,439481,17.3483679197243,"IN"
"16","19","Iowa",1247932,199943,16.0219467086348,"IA"
"17","20","Kansas",1110407,176636,15.9073204689812,"KS"
"18","21","Kentucky",1717706,331241,19.2839170381893,"KY"
"19","22","Louisiana",1720801,381457,22.1674092472052,"LA"
"20","23","Maine",531660,77564,14.5890230598503,"ME"
"21","24","Maryland",2194657,249042,11.3476502250693,"MD"
"22","25","Massachusetts",2579398,307031,11.9032037708023,"MA"
"23","26","Michigan",3884153,617279,15.8922421439114,"MI"
"24","27","Minnesota",2148725,278939,12.9816053706268,"MN"
"25","28","Mississippi",1091245,280256,25.6822253481116,"MS"
"26","29","Missouri",2372190,396474,16.713416716199,"MO"
"27","30","Montana",416125,68144,16.3758486031841,"MT"
"28","31","Nebraska",747562,111804,14.955816373759,"NE"
"29","32","Nevada",1055158,165451,15.6802109257571,"NV"
"30","33","New Hampshire",520643,54511,10.4699381341918,"NH"
"31","34","New Jersey",3194519,396679,12.4174875779421,"NJ"
"32","35","New Mexico",758364,171534,22.6189534313338,"NM"
"33","36","New York",7209054,1071104,14.8577608102256,"NY"
"34","37","North Carolina",3882423,670180,17.2619006223691,"NC"
"35","38","North Dakota",315134,44459,14.1079667696916,"ND"
"36","39","Ohio",4624669,742338,16.0517001324852,"OH"
"37","40","Oklahoma",1469342,280667,19.101543411949,"OK"
"38","41","Oregon",1571678,183990,11.7065963893367,"OR"
"39","42","Pennsylvania",4937771,812027,16.4452138424402,"PA"
"40","44","Rhode Island",408239,61045,14.9532504243838,"RI"
"41","45","South Carolina",1877887,363661,19.3654357264308,"SC"
"42","46","South Dakota",334003,54208,16.2297943431646,"SD"
"43","47","Tennessee",2556332,500183,19.5664334679533,"TN"
"44","48","Texas",9535612,1553636,16.2929867532362,"TX"
"45","49","Utah",943147,86457,9.16686370205281,"UT"
"46","50","Vermont",254851,34919,13.701731600033,"VT"
"47","51","Virginia",3120692,426066,13.6529333878512,"VA"
"48","53","Washington",2768076,263818,9.5307354277845,"WA"
"49","54","West Virginia",722125,154399,21.3812013155617,"WV"
"50","55","Wisconsin",2326998,357154,15.3482727531352,"WI"
"51","56","Wyoming",223619,30115,13.4671025270661,"WY"
